canonical_id,department
1,SFLE
3,DMI
14,SCOM
15,DMI
18,SRH
20,DCAR
27,DST
34,DMI
38,DSE
39,DMCT
43,DMCT
1067,DMI
45,DST
47,DISQ
54,DMI
55,SSI
59,DMCT
62,DMI
63,DMCT
1090,DMI
71,DST
72,DMCT
74,DMI
77,DST
79,DMI
80,DMCT
89,DCAR
97,DCAR
99,DMI
106,SDOC
110,SSI
117,SFLE
118,DCAR
119,DISQ
120,DMI
122,DMCT
131,DMI
132,DCAR
134,DMI
1164,DMI
141,DMI
147,DST
156,DMI
158,DMI
159,DMI
160,DMI
162,DMI
164,SSI
165,DMI
172,DSE
173,SSI
178,DMI
1204,DCAR
181,SCOM
183,DMI
184,DSE
1209,DCAR
1216,SSI
193,DMI
197,SFLE
198,DISQ
200,SFLE
205,DMI
210,DSE
211,DMCT
213,DISQ
1238,DMI
215,DST
219,DMCT
220,DCAR
1245,DST
222,DSE
226,DMI
232,SRH
236,DMI
1260,SCOM
242,DMI
245,SDOC
246,DMCT
248,DSE
250,DMI
251,SFLE
252,DSE
253,DISQ
255,SFLE
257,DMCT
259,DMI
261,DMI
267,DISQ
269,DSE
270,DISQ
272,SRH
275,DSE
285,DMCT
290,DG
295,DMI
1323,DST
1342,DMI
322,DSE
333,DMI
1362,DST
339,DMCT
343,DISQ
346,DST
1374,DCAR
353,DMI
366,DISQ
1392,DST
372,DMI
374,DSE
378,DCAR
387,DST
1414,SFLE
401,DST
407,DMCT
413,SFLE
420,DISQ
424,DSE
425,DMI
426,DST
428,DISQ
429,DST
432,SFLE
434,DMI
435,SDOC
1460,DSE
440,SDOC
441,SCOM
445,DISQ
447,DMI
453,DMI
460,DMI
461,SFLE
1485,DSE
464,DMI
465,DSE
466,DMCT
468,DMCT
1492,DCAR
475,SFLE
477,DSE
478,DISQ
486,DSE
487,DST
488,DST
489,DMI
491,DMI
496,SFLE
498,DMI
502,DG
504,DSE
510,DSE
513,DSE
520,DISQ
525,DISQ
527,DSE
531,SRH
533,DMCT
544,SCOM
574,DMI
577,DSE
580,DST
582,DST
603,DST
615,DMI
621,SRH
626,SFLE
628,SSI
634,DSE
637,DMCT
638,DSE
642,DMI
649,DST
650,SRH
653,SFLE
656,DCAR
660,DISQ
674,DSE
677,DMI
691,DISQ
694,DMI
698,DMI
702,DMCT
706,DMCT
720,DCAR
725,DST
741,DCAR
743,DSE
744,SRH
751,DMI
753,DMCT
763,DMI
771,DSE
778,SCOM
779,DST
784,DMCT
790,DMCT
793,DMCT
797,SRH
809,DMCT
836,DISQ
841,DMI
845,SRH
1870,SFLE
847,SSI
854,DSE
859,DMI
866,DMCT
867,DSE
871,DMCT
874,SFLE
880,DMI
882,DSE
884,DMI
886,DCAR
889,DMCT
893,DSE
894,DMCT
908,DSE
909,DMI
921,DSE
923,DMCT
924,DMCT
939,DMCT
943,DSE
954,DST
959,DMI
970,SSI
977,SFLE
985,SSI
998,SCOM
999,DMCT
